Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
Hotel Suba International Sahar Road Mumbai,Very Good,8.4,"1,189",77,Deluxe Room (10% discount on Laundry),Mumbai,India
Hyatt Centric Juhu Mumbai,Very Good,8.3,569,,Deluxe King Room,Mumbai,India
"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Excellent,8.7,"1,452",,Executive Club,Mumbai,India
"ITC Maratha, a Luxury Collection Hotel, Mumbai",Very Good,8.3,"1,817",,Executive Club,Mumbai,India
"Le Sutra Hotel, Khar, Mumbai",Excellent,8.6,362,104,Standard Double Room,Mumbai,India
"Lemon Tree Premier, Mumbai International Airport",Very Good,8,611,97,Deluxe Room,Mumbai,India
Meluha - The Fern,Very Good,8.2,374,175,Winter Green Room,Mumbai,India
Niranta Transit Hotel Mumbai Airport - At Arrivals,Good,7.4,"1,826",90,Comfort Queen Double,Mumbai,India
Niranta Transit Hotel Terminal 2 Arrivals/Landside,Good,7.5,"4,736",99,Comfort Queen Room,Mumbai,India
Novotel Mumbai International Airport,Excellent,8.6,"1,719",,Standard King Bed with 20% discount on Spa and Food & Soft Beverage at Restaurants only and 10% on Laundry,Mumbai,India
Radisson Blu Mumbai International Airport,Excellent,8.8,"2,848",,Superior Double or Twin Room,Mumbai,India
Radisson Mumbai Andheri MIDC,Very Good,8.2,"1,556",124,Superior Room - 15% off on SPA,Mumbai,India
Regent Hotel Andheri,Very Good,8,281,55,Standard Room Queen Bed,Mumbai,India
Residency Hotel Fort,Very Good,8.5,"2,694",86,Standard Double Room,Mumbai,India
Rodas An Ecotel Hotel,Very Good,8.2,418,150,Deluxe Double Room,Mumbai,India
Royal Hometel Suites,Good,7.6,848,61,Superior Room Double Bed,Mumbai,India
"Sai Palace Grand, Malad",Good,7.4,86,66,Superior Double or Twin Room,Mumbai,India
Super Townhouse Bombay Exhibition Centre Goregaon,Review score,6.8,18,39,Classic Triple Room,Mumbai,India
Super Townhouse Khar The Unicontinental,Excellent,8.8,11,34,Classic Triple Room,Mumbai,India
Taj Lands End,Very Good,8.4,"3,135",,Deluxe Room King Bed,Mumbai,India
Taj Santacruz,Excellent,8.8,"2,609",,Luxury Room Facade View with Bathtub,Mumbai,India
"Taj The Trees, Mumbai",Wonderful,9.1,420,,Deluxe Room Twin Bed,Mumbai,India
"The Gordon House Hotel, Colaba",Good,7.9,687,148,Boutique Room with 15% off on food and soft beverage and Laundry,Mumbai,India
The Lalit Mumbai,Good,7.8,"1,010",133,Lalit Deluxe Room King Bed,Mumbai,India
The Leela Mumbai,Excellent,8.9,"3,943",,Premier City View Room with 1+1 Happy hours are from 5pm to 7pm at 6 degrees on selected brands,Mumbai,India
The Mirador Andheri East,Good,7.8,314,124,Mirable Room,Mumbai,India
The Oberoi Mumbai,Wonderful,9.2,"2,039",210,Luxury,Mumbai,India
"The Shalimar Hotel, Kemps Corner",Review score,6.9,306,123,Comfort Room,Mumbai,India
"The Taj Mahal Palace, Mumbai",Wonderful,9.1,"2,230",,Luxury Room Palace wing,Mumbai,India
"The Taj Mahal Tower, Mumbai",Wonderful,9.1,"5,319",,Superior Room City View King Bed,Mumbai,India
Theory9 Premium Service Apartments Khar,Very Good,8.3,177,75,Deluxe Double Room,Mumbai,India
Trident Bandra Kurla,Excellent,8.8,"3,535",194,Trident Preferred Room,Mumbai,India
Trident Nariman Point,Excellent,8.8,"4,585",173,Premier Double or Twin Room with City View,Mumbai,India
25hours Hotel Jakarta The Oddbird,Wonderful,9.2,49,,Medium Urban,Jakarta,Indonesia
AI Hotel Jakarta Thamrin,Good,7.4,173,50,Standard Queen Room,Jakarta,Indonesia
Alila SCBD Jakarta,Wonderful,9,42,,King Studio,Jakarta,Indonesia
Ana Hotel Jakarta,Good,7.2,52,48,Business Twin Room,Jakarta,Indonesia
ARTOTEL Casa Kuningan,Very Good,8.2,124,75,Studio 25,Jakarta,Indonesia
ARTOTEL Gelora Senayan Jakarta,Good,7.5,661,85,Deluxe King Room,Jakarta,Indonesia
Aryaduta Menteng,Very Good,8,554,52,Superior Room,Jakarta,Indonesia
Ascott Jakarta,Very Good,8.4,"2,183",,Premier Studio,Jakarta,Indonesia
Ascott Kuningan Jakarta,Excellent,8.7,477,,Deluxe One-Bedroom Apartment,Jakarta,Indonesia
Ashley Sabang Jakarta,Very Good,8.3,911,61,Superior King Room,Jakarta,Indonesia
Ashley Tanah Abang,Very Good,8.5,"3,216",73,Superior Double Room,Jakarta,Indonesia
Ashley Tang Menteng Jakarta,Excellent,8.7,"1,102",71,Superior Queen Room,Jakarta,Indonesia
Ashley Wahid Hasyim Jakarta,Very Good,8.5,"2,134",59,Superior Queen Room,Jakarta,Indonesia
Aston Kartika Grogol Hotel & Conference Center,Good,7.8,245,,Studio Style King,Jakarta,Indonesia
Aston Kemayoran City Hotel,Very Good,8,372,47,Deluxe Double Room,Jakarta,Indonesia
Aston Priority Simatupang Hotel and Conference Center,Good,7.9,225,,Deluxe Queen Room,Jakarta,Indonesia
Asyana Kemayoran Jakarta,Good,7.7,75,,Standard Twin Room,Jakarta,Indonesia
Best Western Senayan,Good,7.1,165,44,Standard Double Room - No Window,Jakarta,Indonesia
Citadines Sudirman Jakarta,Excellent,8.7,991,,Executive Studio,Jakarta,Indonesia
DoubleTree by Hilton Jakarta - Diponegoro,Excellent,8.6,"1,300",,King Room,Jakarta,Indonesia
Fairmont Jakarta,Excellent,8.9,516,,Fairmont Double Room - Non-Smoking,Jakarta,Indonesia
Flamenco Urban Living,Review score,6.9,158,18,Smart Double Room,Jakarta,Indonesia
Four Seasons Hotel Jakarta,Wonderful,9.3,519,,Premier King Suite,Jakarta,Indonesia
Golden Boutique Hotel Melawai,Good,7.3,87,46,Deluxe Double Room - No Window,Jakarta,Indonesia
Grand Hyatt Jakarta,Wonderful,9.1,500,,King Room with City View,Jakarta,Indonesia
Grand Sahid Jaya CBD,Review score,6.8,202,77,Deluxe King Room,Jakarta,Indonesia
Grand Whiz Poins Simatupang Jakarta,Good,7.8,320,36,Superior Double Room,Jakarta,Indonesia
HABITARE Rasuna Jakarta,Good,7.9,93,62,Studio Apartment,Jakarta,Indonesia
Harper MT Haryono by ASTON,Good,7.7,180,39,Superior Double Room,Jakarta,Indonesia
Harris Suites Puri Mansion,Very Good,8.2,286,48,Double or Twin Room,Jakarta,Indonesia
Hilton Garden Inn Jakarta Taman Palem,Excellent,8.6,"1,301",,Twin Room,Jakarta,Indonesia
Holiday Inn & Suites Jakarta Gajah Mada by IHG,Excellent,8.9,"1,134",,Standard King Room with City View,Jakarta,Indonesia
Holiday Inn Express Jakarta Pluit Citygate by IHG,Good,7.6,565,,Standard Queen Room - Disability Access,Jakarta,Indonesia
Hotel Gran Mahakam,Excellent,8.8,294,,Deluxe Double Room,Jakarta,Indonesia
Hotel Indonesia Kempinski Jakarta,Wonderful,9,878,,Deluxe King,Jakarta,Indonesia
Hotel KIMAYA Slipi Jakarta By HARRIS,Good,7.5,167,,Deluxe Double or Twin Room,Jakarta,Indonesia
Hotel Neo+ Kebayoran Jakarta,Good,7,61,,Standard Double or Twin Room,Jakarta,Indonesia
Hotel Santika Premiere Slipi Jakarta,Good,7.9,265,68,Deluxe Queen Room,Jakarta,Indonesia
InterContinental Hotels Jakarta Pondok Indah by IHG,Wonderful,9.2,432,,Classic King Room,Jakarta,Indonesia
Le Meridien Jakarta,Very Good,8.4,196,,"Deluxe, Guest room, 1 King",Jakarta,Indonesia
